채용제목,회사,근무지,경력,학력,고용형태,상세url,스킬_old,스킬_new,상세게시글id,주요업무,자격요건,우대사항,채용절차,급여,업종,복지 및 혜택
[AX] AI 에이전트&시스템 구축 B2B 영업,㈜에이엑스,서울 서초구 양재대로12길 56  서초 AICT 우수기업센터 A동 405호,경력,학력무관,"정규직 (수습 2개월), 계약직(근무기간 2개월)",https://www.jobkorea.co.kr/Recruit/GI_Read/48418724?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=1&sc=630,,,48418724.0,,,,,회사 내규에 따름 (면접 후 결정),응용 소프트웨어 개발 및 공급업,
AI 에이전트 엔지니어,㈜에스투더블유,경기 성남시 분당구 판교역로192번길 12  3층,경력5년~15년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48396374?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=2&sc=630,,,48396374.0,,,,,,시스템 소프트웨어 개발 및 공급업,""
[AX] AI 에이전트 기획 및 아키텍트,㈜에이엑스,서울 서초구 양재대로12길 56  서초 AICT 우수기업센터 A동 405호,경력,학력무관,"정규직 (수습 2개월), 계약직(근무기간 2개월)",https://www.jobkorea.co.kr/Recruit/GI_Read/48418055?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=3&sc=630,,,48418055.0,,,,,회사 내규에 따름 (면접 후 결정),응용 소프트웨어 개발 및 공급업,
AI 에이전트 개발자 정규직 채용,㈜애딥,서울 강남구 테헤란로2길 27  9층,경력,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48512285?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=4&sc=630,"Langchain, langgraph","Langchain, langgraph",48512285.0,,,,,회사 내규에 따름,,
[플랫폼본부] AX-Tech실 AI 에이전트 엔지니어,㈜넥슨,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48481370?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=5&sc=630,,,48481370.0,,,"기본우대 장애인, 유관업무 경험자(인턴·알바), 보훈대상자 스마트픽 AD 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름,,
[핀테크 스타트업] AI 에이전트 엔지니어 모십니다.,㈜와이에스메타,서울 송파구 법원로 128  B동 1211호,경력,초대졸이상,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48447364?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=6&sc=630,,,48447364.0,,"경력 경력 (2년이상) 학력 초대졸이상 스킬 핵심역량 성장지향성 , 계획성 , 성실성 , 성취지향성 , 꼼꼼함 , 스트레스관리 , 윤리의식 , 자존감 , 적응성 , 창의성 , 협동심 , 메타인지",우대전공 이,,"연봉 5,000만원 이상",,
AI 에이전트 개발 및 빌더 채용,㈜솔체인,경남 창원시 의창구 중동중앙로 47  타워동 1902호,경력무관,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48524694?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=7&sc=630,,,48524694.0,,,,,회사 내규에 따름 (면접 후 결정),,
[서울지사] AI 에이전트 및 워크플로우 엔지니어 모집,㈜인사이트온,서울 금천구 디지털로 178  -,경력무관,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48459155?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=8&sc=630,,,48459155.0,,,"기본우대 관련 자격증 보유자, 유관업무 경력자 우대전공 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
[부산 / 장기] LLM 기반 RAG 챗봇·AI 에이전트 개발 경력자 채용,㈜디지털엠엔씨,부산 연제구 중앙대로 1001  연산동,경력,대졸이상,계약직 (근무기간 2년),https://www.jobkorea.co.kr/Recruit/GI_Read/48516670?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=9&sc=630,,,48516670.0,,,,,월급 700만원 이상 (면접 후 결정),,
에이전트 서비스(AI Agent) 백엔드 개발자 채용,㈜골든플래닛,서울 강남구 언주로 535  역삼동 662-15,경력,학력무관,정규직 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48314028?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=10&sc=630,"SQLAlchemy, Langchain, langgraph 스마트픽 AD","SQLAlchemy, Langchain, langgraph 스마트픽 AD",48314028.0,,"경력 경력 (3년이상) 학력 학력무관 스킬 , SQLAlchemy, Langchain, langgraph 스마트픽 AD 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,,회사 내규에 따름 (면접 후 결정),,
