page_id,title,company_name,full_location,skills,employment,link,main_tasks,requirements,preferred,hire_rounds
339195,[플랫폼본부] AI솔루션지원실 MLOps 엔지니어,넥슨코리아(NEXON),"경기도 성남시 분당구 판교로 256번길 7, 넥슨","머신러닝 엔지니어, 파이썬 개발자, ",regular,https://www.wanted.co.kr/wd/339195?client_id=x7eN3AyKUtFUcR2WIUFbWYfS,"• 안정적이고 확장 가능한 머신러닝 서빙 시스템을 설계하고 개발하여, 딥러닝 모델이 실제 서비스로 연결될 수 있도록 합니다.
• 머신러닝 모델의 학습, 배포, 모니터링에 이르는 전체 생명주기를 자동화하는 파이프라인을 구축하고 운영합니다.
• 모델과 애플리케이션의 지속적인 통합 및 배포(CI/CD) 파이프라인을 구축하고 고도화하여 개발 생산성을 향상시킵니다.
• 배포된 모델의 성능과 데이터 이상 징후를 모니터링하는 시스템을 구축하여 서비스의 안정성을 책임집니다.
• 데이터 사이언티스트, ML 엔지니어와 긴밀하게 협업하여 기술적 문제를 해결하고 아이디어를 실제 서비스로 구현합니다.
• 효율적인 개발 문화와 프로세스를 정착시키기 위해 시스템과 지식을 문서화하고 동료들과 공유합니다.","• 3년 이상의 소프트웨어 개발 경력을 가지신 분
• Python 또는 Go를 이용한 서버 개발에 능숙하신 분
• 네트워크, OS, 자료구조, 데이터베이스 등 컴퓨터 공학의 탄탄한 기초 지식을 갖추신 분
• 주도적으로 문제를 정의하고 해결하는 것을 즐기며, 새로운 기술 학습에 대한 열정이 있으신 분
• 원활한 커뮤니케이션으로 동료들과 즐겁게 일할 수 있으신 분","• 클라우드 환경(AWS, Azure, GCP)에서 업무 경험이 있으신 분
• 소프트웨어 개발팀을 리딩한 경험이 있으신 분
• Kubernetes, Docker 등 컨테이너 기반의 시스템 구축 및 운영 경험이 있으신 분
• Istio, Knative 등 서비스 메시 및 서버리스 기술 활용 경험이 있으신 분
• MLflow, kserve 등 MLOps 관련 도구를 활용한 머신러닝 파이프라인 구축 및 운영 경험이 있으신 분
• 대용량 트래픽을 위한 머신러닝 서빙 시스템 개발 및 최적화 경험이 있으신 분
• Prometheus, Grafana 등을 활용한 모니터링 시스템 구축 경험이 있으신 분
• IaC(Infrastructure as Code) 경험이 있으신 분",
338743,로봇 Perception 엔지니어,리보틱스,"경기 시흥시 배곧2로 82, 104호","파이썬 개발자, ",regular,https://www.wanted.co.kr/wd/338743?client_id=x7eN3AyKUtFUcR2WIUFbWYfS,"• 로봇 센서 데이터 처리 및 분석: LiDAR, RGB-D, 스테레오 카메라 등 다양한 로봇 센서 데이터를 처리하고 분석합니다.
• 팔레트 검출 알고리즘 개발: 카메라와 LiDAR 데이터를 사용하여 다양한 팔레트를 검출하는 알고리즘을 개발합니다.
• 객체 인식 및 추적 알고리즘 개발: 주변 환경의 객체를 정확하게 인식, 추적, 분류하는 알고리즘을 개발합니다.
• 환경 인식 기반 주행 지원 기능 구현: 로봇의 자율 주행을 지원하기 위한 환경 인식 기능을 구현합니다.
• AI/딥러닝 모델 개발 및 최적화: AI 및 딥러닝 기반의 인식 모델을 학습시키고, 실시간 성능을 최적화합니다.
• 성능 개선: 로봇의 인식 성능을 지속적으로 개선하고 고도화합니다.","• 경력: LiDAR, Image 기반 Perception 알고리즘 개발 경험 3년 이상.
• 학력: 컴퓨터 비전, 인공지능, 로보틱스 관련 학과 학사 이상.
• 언어: C++ (필수), Python 개발 경험.
• 지식: OpenCV, PCL, PyTorch/TensorFlow 등 딥러닝 프레임워크 활용 경험.","• ROS 2를 활용한 시스템 개발 경험.
• 센서 퓨전 알고리즘 구현 경험.
• 실제 로봇의 Perception 관련 알고리즘 개발 및 배포 경험
• 관련 전공 석사: 로보틱스, 컴퓨터 비전, 인공지능 등 관련 전공 석사 이상.","• 근무형태: 정규직
• 근무시간: 오전 9시~ 오후 6시(*출근시간 조율 가능)
• 채용 절차:
서류전형 ＞ 코딩테스트(개발직군)/과제전형(디자인직군) ＞ 1차 인터뷰＞ 2차 인터뷰 ＞ 레퍼런스 체크(필요시) ＞ 처우 협의 ＞ 최종 합격 및 입사
※ 진행 상황에 따라 전형이 변동 될 수 있음

• 메인 근무지: 시흥 연구소 혹은 서울 오피스 중 선택 가능 
※ 시흥 연구소: 경기 시흥시 배곧2로 82 서울대학교 시흥캠퍼스미래모빌리티연구동    
※ 서울 오피스: 서울특별시 강남구 테헤란로 217 오렌지플래닛 2층
 
• 제출서류: 이력서(필수) 포트폴리오(선택) * 포트폴리오의 경우, 프로젝트/Github 등 포함 시 우대
• 서류 검토 후 합격자에 한하여 인터뷰 진행"
338747,멀티 로봇 관제 시스템 개발 리더,리보틱스,"경기 시흥시 배곧2로 82, 104호","머신러닝 엔지니어, 파이썬 개발자, C,C++ 개발자, ",regular,https://www.wanted.co.kr/wd/338747?client_id=x7eN3AyKUtFUcR2WIUFbWYfS,"• 관제 시스템 아키텍처 설계 및 리딩: VDA5050 프로토콜을 기반으로 한 로봇 관제 시스템의 전체 아키텍처를 설계하고, 팀을 이끌어 구현을 주도합니다.
• DB 설계 및 최적화: 대규모 및 확장 가능한 운영 환경을 위한 DB 구조를 설계하고 성능을 최적화합니다.
• 통신 인터페이스 설계: 로봇, 외부 시스템(WMS, MES 등)과의 안정적이고 효율적인 통신 인터페이스를 설계합니다.
• 멀티 로봇 스케줄링 및 경로 계획: 데드락 없이 동작하는 스케줄링 및 경로 계획 알고리즘을 설계하고 검증합니다.
• 표준화 활동 참여: Interoperability Working Group에 참여하여 VDA5050 표준 발전에 기여합니다.
• 기술 방향성 제시: 장기 및 단기 기술 로드맵을 수립하고, 팀의 기술 역량 강화를 이끕니다.
• MAPF 알고리즘 구현 경험: Multi-Agent Path Finding(MAPF) 알고리즘을 실제 멀티 로봇 환경에 적용하고 최적화하며, 충돌 및 Deadlock 예방 로직을 통합하고 시뮬레이션과 실환경에서 검증한 경험을 보유합니다.","• 경력: 로봇 관제 시스템 개발 및 운영 경력 7년 이상.
• 언어: C++ (필수), Python 경험.
• 설계 경험: 대규모 서버 및 시스템 아키텍처를 설계하고 구현한 경험.
• 시스템 운영 경험: 클라우드(Cloud) 및 온프레미스(On-Premise) 서버 구축 및 운영 경험.
• 멀티 로봇 기술: 멀티 로봇 스케줄링, 경로 계획, 충돌 회피 알고리즘 개발 경험.
• 표준 및 프로토콜 이해: VDA5050, MQTT, OPC UA 등 산업용 통신 프로토콜에 대한 깊은 이해.
• 커뮤니케이션: 다양한 부서와 협력하며 기술적 요구사항을 조율할 수 있는 능력.","• 대규모 실환경에서 로봇을 운영한 경험.
• 글로벌 표준화 기구 활동 경험.
• 관련 전공 석사: 로보틱스, 컴퓨터공학, 산업공학 등 관련 전공 석사 이상.","• 근무형태: 정규직
• 근무시간: 오전 9시~ 오후 6시(*출근시간 조율 가능)
• 채용 절차:
서류전형 ＞ 코딩테스트(개발직군)/과제전형(디자인직군) ＞ 1차 인터뷰＞ 2차 인터뷰 ＞ 레퍼런스 체크(필요시) ＞ 처우 협의 ＞ 최종 합격 및 입사
※ 진행 상황에 따라 전형이 변동 될 수 있음

• 메인 근무지: 시흥 연구소 혹은 서울 오피스 중 선택 가능 
※ 시흥 연구소: 경기 시흥시 배곧2로 82 서울대학교 시흥캠퍼스미래모빌리티연구동    
※ 서울 오피스: 서울특별시 강남구 테헤란로 217 오렌지플래닛 2층
 
• 제출서류: 이력서(필수) 포트폴리오(선택) * 포트폴리오의 경우, 프로젝트/Github 등 포함 시 우대
• 서류 검토 후 합격자에 한하여 인터뷰 진행"
301741,Algorithm Engineer,스트라드비젼(STRADVISION),강남대로 363 363강남타워,"임베디드 개발자, 파이썬 개발자, C,C++ 개발자, ",regular,https://www.wanted.co.kr/wd/301741?client_id=x7eN3AyKUtFUcR2WIUFbWYfS,"[Mission of the Role] 
Automotive 환경에서 vision 센서 기반 tracking algorithm 개발자를 찾습니다. 이 직무는 Surround vision perception 기술 완성도를 높이기 위해 algorithm 개발에 기여하며, 최첨단 기술에 대한 열정과 지속적인 기술 발전을 추구하는 엔지니어를 채용 합니다. 새로운 기술을 배우는 것에 거리낌이 없고 공유하는 것에 즐거움을 느끼시는 분들의 많은 관심 부탁 드립니다. 

[Key Responsibilities]
• 자율 주차 및 주행 시스템 통합을 위해 필요한 정확하고 안정적인 tracking algorithm 개발 업무 수행
    • Parking Vision Perception feature 기능 및 성능 향상
• 자율 주차 및 주행 시스템의 perception 기능 및 성능 향상
• 개발팀 및 유관부서와 Product 시험 개발 및 평가 협업
• 협업 툴(Git, Jira, Confluence 등)을 활용한 개발 및 이슈 관리
• 제품 개발 및 고객사 대응을 위해 필요한 문서 작업
• 생산성을 높이기 위한 전반적인 SW 개발 process 개선
• Perception 성능에 대한 평가 방법 및 툴 개발","[Basic Qualifications] 
• 자동차/전기전자/컴퓨터 계열 전공 학사 이상의 학위를 보유하신 분
• Tracking 에 대한 기본적 지식을 가지고 있으며, Computer vision, Image processing, Machine learning 기술 응용 가능하신 분, 또는 그에 준하는 역량을 가지신 분 (관련 경험 이력서 내 필수로 기재 부탁드립니다.)
• KF, EKF Tracking 개발 경험있으신 분
• 프로그래밍 언어(주로 C++, Python, C 등) 활용한 자유로운 개발 가능하신 분
• 문제 해결에 대한 열정을 갖고, 팀원과 원활한 의사 소통 능력을 보유하신 분","[Preferred Qualifications] 
• Object pose estimation, 3D Vision, Object detection, Object tracking, Semantic segmentation, Point cloud tracking 관련 경험 있으신 분
• 해당 분야 석사/박사 학위 또는 5년 이상의 개발 경력이 있으신 분
• Bicycle model, 4-wheel model 등 차량 움직임 모델링에 대한 이해가 있으신 분
• 자동차 부품 개발 및 양산 개발 경험을 보유하신 분
• 자율주차 및 주행 시스템에 대해 이해가 있으신 분
• Embedded, Linux 시스템에서 개발 경험이 있으신 분
• 해외 고객사와 영어로 회의 및 문서작성 등 가능하신 분","[Recruitment Process]  
• 서류 전형 ＞ 과제전형 ＞ 1차 인터뷰(대면) ＞  레퍼런스 체크 (5년차 이상) ＞ 처우 협의 ＞ 최종 합격 및 입사
   • 전형 절차는 직무별로 다르게 운영될 수 있으며, 일정 및 상황에 따라 변동될 수 있습니다.
   • 전형일정 및 결과는 지원서에 등록하신 이메일로 개별 안내드립니다.

[Application] 
• 필수 : 이력서 및 경력기술서. 포트폴리오
   • 포트폴리오 내 tracking algorithm 관련 경험을 상세하게 작성해주세요.
• 선택 : 논문
   • 이력서 및 경력기술서는 PDF 양식으로 제출해주시기 바랍니다. 다른 파일 형식으로 제출해주시는 경우 내용 확인이 어려울 수 있습니다.
   • 지원 서류는 모두 자유 양식으로 여태까지 해오셨던 업무, 프로젝트 등을 본인의 역량이 잘 드러날 수 있도록 작성해주시면 좋습니다.
   • 지원 서류에는 주민등록번호, 연봉, 혼인 여부 등 민감한 개인정보가 포함되지 않도록 확인 부탁드립니다.

[Others]  
• 본 공고는 상시 채용으로, 채용 완료 시 조기 마감될 수 있습니다.
• 입사 후 정규직은 3개월 간의 수습기간이 있습니다.
• 외국인의 경우 비자 지원이 가능합니다.
• 지원서 내용 중 허위사실이 있는 경우에는 합격이 취소될 수 있습니다.

STRADVISION은 한 사람 한 사람의 다양성을 존중하며, 한국오피스를 기반으로 해외오피스(독일, 미국, 일본, 중국) 멤버들과 글로벌 테크회사의 문화를 만들어가고 있습니다.
또한, STRADVISION은 채용전형에서 나이, 국적, 성별, 출신 등 업무역량과 관계없는 요소로 차별하지 않으며, 지원자 모두에게 공정한 기회를 제공합니다. 채용전형과 관련하여 궁금하신 점은 언제든지 STRADVISION 채용팀에 문의 주시기 바랍니다."
326393,Product Reliability Engineer,큐픽스,"경기 성남시 분당구 대왕판교로 670, 유스페이스2 B동 605호","기술지원, 파이썬 개발자, QA,테스트 엔지니어, ",regular,https://www.wanted.co.kr/wd/326393?client_id=x7eN3AyKUtFUcR2WIUFbWYfS,"[글로벌 서비스 내 기술 이슈 분석 및 해결]
• 큐픽스의 Web/App 제품에서 발생하는 기술적 이슈를 재현하고 로그를 분석하여 원인을 파악합니다.
• 단순한 현상 재현을 넘어, 서버 로그(Log)와 DB 데이터를 쿼리(SQL)하여 근본 원인(Root Cause)을 기술적으로 규명합니다.
• 반복되는 운영 업무를 줄이기 위해 Python 등을 활용한 자동화 툴/스크립트를 제작하여 운영 효율을 높입니다. 

[통합 모니터링 시스템 설계 및 개발]
• Datadog, Snowflake, Retool 등을 활용하여 서비스 상태를 직관적으로 파악할 수 있는 별도의  모니터링 대시보드 및 알림 시스템을 직접 구축합니다.
• 에러 로그 수집 파이프라인을 설계하고, 장애 징후를 사전에 탐지할 수 있는 스크립트/툴을 개발합니다.
• 수집된 데이터를 기반으로 핵심 비즈니스 지표(KPI)를 시각화 합니다.

[데이터 기반 운영 프로세스 개선]
• 장애 데이터를 정량적으로 분석하여 개발팀에 아키텍처 개선 아이디어를 제안합니다.
• 고객이 리포트하기 전 선제적으로 오류를 감지하고 복구하는 'Proactive Reliability' 프로세스를 엔지니어링 관점에서 구현합니다.","• 학력: 4년제 학사 이상 (컴퓨터공학 또는 관련 전공자 선호)
• IT 서비스/SaaS 분야에서 엔지니어링, 기술지원, QA, 인프라 운영 등 관련 경력 4년 이상
• Python, JavaScript 등 하나 이상의 스크립트 언어를 사용하여 간단한 툴을 만들거나 업무를 자동화해 본 경험이 있는 분
• SQL을 작성하여 DB에서 직접 데이터를 추출하고 분석할 수 있는 분
• HTTP/HTTPS, REST API, Client-Server 구조 등 웹 동작 원리를 이해하고 트러블슈팅에 활용할 수 있는 분
• 개발자, PO 등 다양한 유관 부서와 원활하게 소통하며 문제를 조율할 수 있는 분","• 모니터링/데이터 툴 구축 경험: Datadog, Snowflake, ELK Stack(Elasticsearch, Logstash, Kibana), Grafana 등을 직접 세팅하고 운영해 본 경험
• 기초적인 개발/데이터 지식: SQL을 통해 데이터를 조회하거나, Python 등을 활용해 간단한 업무 자동화를 시도해 본 경험이 있는 분
• API 연동 개발: 3rd Party API나 사내 서버 API를 호출하여 데이터를 수집하고 가공해 본 경험 (Python, Node.js 등)
• 영어 커뮤니케이션: 글로벌 고객의 티켓(이메일) 내용을 정확히 독해하고 작문할 수 있는 분
• 전공/관심사: 컴퓨터공학 관련 전공자 또는 3D 공간/건설 기술(ConTech)에 흥미가 있는 분","[채용 전형]
• 서류 전형 ＞ 1차 인터뷰(기술퀴즈 포함) ＞ 2차 인터뷰 ＞ 레퍼런스체크 ＞ 채용 제안
• 포트폴리오 제출 환영"
338971,"[강남/대구] AI연구소 AI 개발 연구원 (딥러닝, 강화학습 분야)",씨엘모빌리티,서울특별시 강남구 강남대로 318 타워837 8층,"데이터 사이언티스트, 파이썬 개발자, C,C++ 개발자, ",regular,https://www.wanted.co.kr/wd/338971?client_id=x7eN3AyKUtFUcR2WIUFbWYfS,"• AI 시스템 연구개발, 연구과제 관리 및 연구 계획서 작성​","• 강화학습, 딥러닝 프로젝트 경력​","• 학력 : 대졸이상​
• 소프트웨어 개발 관련 전공
• AI 응용 시스템 개발 및 상용화 경험 우대",
338902,AI/ML 개발자 3년 이상,서치독,"경기 성남시 분당구 대왕판교로 660, 패스트파이브 115","서버 개발자, 데이터 사이언티스트, 파이썬 개발자, ",regular,https://www.wanted.co.kr/wd/338902?client_id=x7eN3AyKUtFUcR2WIUFbWYfS,"## 주요 업무 및 포지션 상세
우리 기술로 구축한 애플리케이션을 지속적으로 개선하고 운영하는 역할을 합니다. 당사는 다음 포지션에 뛰어난 역량을 가진 분을 찾고 있습니다.

### AIML Engineer
• 주요 업무
    - 데이터 사이언스적 접근을 통한 실험·검증 및 서비스화
        - 도메인 문제 해결을 위해 가설을 세우고, 데이터셋 구축·평가를 포함한 반복 실험을 수행합니다.
        - 실제 현장 피드백과 성능 지표를 기반으로 모델과 서비스 기능을 지속적으로 고도화합니다.
    - 검색·생성형 AI 기반 서비스 개발·운영
        - 글로벌 검색 수준의 Retrieval·Indexing 파이프라인을 설계·구축합니다.
        - 생성형 AI를 활용해 도메인 문제 해결형 Multi-Agent 서비스를 개발·운영하며, 도메인의 문제를 해결합니다.","## 자격 요건
    - Python을 기반한 AI/ML 구현 역량
    - 생성형 AI 기반 서비스 구현 경험
    - 요구되는 기술 스택 기반 3년 이상의 개발/운영 경험

## 공통 지원 자격 (인재상)
• 신입 혹은 경력 여부와 무관하며 학력은 특성화고(마이스터고, 디지털미디어고), 전문대, 국내외 4년제 대학 등 제한이 없습니다.
• 해외여행 및 국내외 취업에 법적 결격사유가 없어야 합니다.
• 당사는 다음과 같은 리더십 원칙을 중요하게 생각하는 인재를 찾습니다.
    - 상호 존중을 기반으로 원활하게 소통하며 협업할 수 있는 분.
    - 문제 해결과 사용자 중심 제품 개발에 관심이 있고, 새로운 기술을 빠르게 학습하려는 자세를 가진 분.
    - 높은 책임감을 갖고 끝까지 결과를 만드는 분.
    - 고객 요구에 깊이 몰입하고 고객의 성공을 최우선으로 생각하는 태도 .
    - 품질·성능·보안 등 모든 기준에서 탁월함을 추구하는 자세 .
    - 완벽한 준비보다는 빠른 실행을 통해 성과를 만드는 행동 .
    - 새로운 기술과 도전 과제에 대한 지속적인 탐구 .
    - 정직과 일관성을 통해 팀과 고객의 신뢰를 구축하는 태도 .
    - Linux · Docker · CI/CD 환경에서 모델 운영 경험","## 우대 요건
    - 확률·통계·선형 모델링 지식 및 A/B 테스트 설계/분석 경험
    - NLP·LLM 기반 서비스 구현 경험 및 최신 논문/기술 동향을 빠르게 파악하고 적용하는 능력
    - RAG(Retrieval Augmented Generation) 기반 구현 경험
    - 검색 모델의 이해 (Semantic/Vector 검색 혹은 BM25/Lexical 검색 기술)
    - Dataset / Evaluation Set 설계 및 AI/ML 모델을 개발하고 운영한 경험","## 전형 절차

1. 서류 전형 – 기본 이력서와 간단한 포트폴리오 제출
    1. 제출 서류 : 지원서(이력서), 포트폴리오 등 자유 양식
2. 1차 기술면접(폰 스크리닝) – 전화 또는 화상으로 기술 및 경험 확인
3. 코딩 테스트 또는 과제 – 역할에 따라 실무형 과제를 제공합니다
4. 심층 면접 – 팀 fit 및 인성 면접 포함
5. 최종 합격 후 입사

전형 절차와 일정은 상황에 따라 변동될 수 있으며, 경력자의 경우 평판 조회를 요청할 수 있습니다."
338867,Sr. Embedded AI Engineer,스트라드비젼(STRADVISION),강남대로 363 363강남타워,"임베디드 개발자, 파이썬 개발자, C,C++ 개발자, ",regular,https://www.wanted.co.kr/wd/338867?client_id=x7eN3AyKUtFUcR2WIUFbWYfS,"[Mission of the Role]
We’re hiring an Embedded AI Engineer to productize MV-Gen2 multi-camera, Transformer-based vision perception models (e.g., object detection / lane / occupancy), and E2E models(e.g., path planner, and control) across multiple automotive SoCs—Renesas, TI (Jacinto/TDA4), Qualcomm, and NVIDIA Orin/Thor.
You will lead INT8 quantization (PTQ/QAT), model porting, runtime/accelerator optimization, and—critically—provide HW-aware redesign guidance to internal DL model teams so architectures remain deployable and efficient under SoC constraints.
This role is a unique opportunity to work on high-impact, cutting-edge research that directly contributes to the development of next-generation autonomous driving systems.

[Key Responsibilities]
The selected candidate will be responsible for designing, developing, and optimizing deep learning models for ADAS/Autonomy.

1) Quantization & Deployment (Multi-Camera Transformers)
• Convert and deploy multi-camera Transformer perception models to embedded inference stacks using PTQ/QAT, calibration pipelines, and accuracy recovery strategies (mixed precision, selective quantization, layer-wise sensitivity).
• Build robust export/packaging flow (e.g., PyTorch  ONNX  target runtime) and resolve conversion/runtime issues (unsupported ops, precision constraints, graph transforms).

2) HW-Aware Model Redesign Feedback (Internal Technical Leadership)
• Provide actionable feedback to internal DL engineers on SoC-friendly Transformer design :
     • Reduce attention/FFN compute & activation memory, manage token/BEV grid size, and avoid/replace ops that break target toolchains.
     • Propose architecture patterns that preserve accuracy while meeting embedded constraints (bandwidth, SRAM/DDR pressure, operator support).
     • Codify guidelines into “design rules” (allowed/avoid ops, preferred blocks, quantization-robust practices) and drive adoption through reviews and decision logs.

3) Multi-SoC Runtime & Accelerator Optimization
• Optimize latency/throughput/memory for real-time perception across NPU/GPU/DLA/DSP backends :
     • Renesas: DRP-AI INT8 PTQ flow (calibration-based static quantization) and translation pipeline integration.
     • NVIDIA Orin: TensorRT build/engine tuning, DLA constraints(INT8/FP16) and GPU–DLA workload partitioning. 
     • Qualcomm: ONNX Runtime QNN Execution Provider/ QNN SDK-based acceleration strategy and deployment validation.
     • TI: TIDL quantization modes (PTQ/QAT) and “deployable-by-design” constraints.

4) Tooling & Performance Infrastructure
• Establish repeatable profiling + regression harness for latency/memory/accuracy across SoCs; publish performance dashboards and release artifacts.
• Collaborate with platform/firmware teams to unblock runtime integration and memory/IO bottlenecks.","[Basic Qualifications]
• MS + 3 years industry or PhD + 1 years (or equivalent), with 3–6+ years hands-on DL in total (vision/ML/robotics).
• Hands-on experience shipping DL models to embedded/edge devices (automotive/robotics/consumer edge), including INT8 quantization (PTQ/QAT) and performance tuning.
• Strong proficiency in Python + C/C++, model debugging, profiling, and deployment automation.
Practical knowledge of at least one deployment stack: TensorRT, ONNX Runtime, QNN, TIDL, DRP-AI, TVM/compilers, etc.
• Experience optimizing Transformer-based vision models (attention bottlenecks, activation memory, mixed precision, operator constraints).","[Preferred Qualifications]
• Direct experience with Renesas / TI / Qualcomm / NVIDIA Orin automotive SoCs and their toolchains.
• Built or owned a multi-target deployment pipeline (same model family across 2–3+ hardware targets).
• Compiler/runtime background (graph rewriting, kernel selection, MLIR/LLVM/TVM) or NPU codegen experience.
• ADAS/autonomy perception domain knowledge (multi-camera, BEV/occupancy style representations).
• CVPR/ICCV/ECCV/NeurIPS/ICLR publications/reviews or competition wins/leadership.","[Application]
• Required: Resume / Thesis (for those who have a Master’s degree or above.)
• Optional: Cover Letter, Research/Project Portfolio (including publications, open-source projects, or patents), Other theses 
    • Please include detailed information on your relevant work or research experience in your résumé and/or portfolio.
    • For Master’s/Ph.D. degree holders: Please provide detailed project and/or research experience, such as a portfolio or equivalent documentation.
 
[Recruitment Process]
• Application Review ＞ SC Screening Test ＞ Tech Interview(s) ＞ Reference Check (above 5yrs) ＞ Offer ＞ Onboarding
  • Please be aware of that the recruitment processes & schedules may be changed depending on the job and/or other circumstances.

[Others]
• This position is open for ongoing recruitment and may close earlier once the role has been successfully filled.
• A 3-month probationary period will apply after joining as a regular employee.
• Visa sponsorship can be supported for eligible international candidates.
• If any false or inaccurate information is identified during the hiring process, the recruitment may be discontinued or an offer may be withdrawn.

STRADVISION stands for an open and respectful corporate culture because we believe the diversity helps us to find new perspectives.

STRADVISION ensures that all our members have equal opportunities –regardless of age, ethnic origin and nationality, gender and gender identity, physical and mental abilities, religion and belief, sexual orientation, and social background. We always ensure diversity right from the recruitment stage and therefore make hiring decisions based on candidate’s actual competencies, qualifications, and business needs at the point of the time.

Please feel free to contact us via our talent acquisition team e-mail if you have any questions."
338868,개발자 (3~5년),태자,"서울 강남구 테헤란로 322, 서관 7층 주식회사 태자","파이썬 개발자, 자바 개발자, Node.js 개발자, ",contract,https://www.wanted.co.kr/wd/338868?client_id=x7eN3AyKUtFUcR2WIUFbWYfS,"1. 이런 업무를 해요

•	AI 대화의 핵심 흐름 설계 음성 인식(STT)부터 LLM의 답변 생성, 음성 합성(TTS)으로 이어지는 실시간 대화 파이프라인 구축 
•	캐릭터에 기억 심어주기 사용자와의 이전 대화 맥락을 기억하고 유지하는 세션 및 메모리 관리 시스템 개발 
•	탄탄한 서비스 기반 마련 사용자 관리 및 캐릭터 설정을 위한 RESTful API 서버와 PostgreSQL 데이터베이스 설계 
•	운영 효율화 캐릭터의 대사나 에피소드를 쉽게 관리할 수 있는 내부 CMS 툴 개발 
•	인프라 구축 AWS 환경(Lambda, ECS 등) 위에서 안정적인 서비스 배포 및 모니터링 환경 구성","2. 이런 분을 찾아요 (필수)

•	백엔드 실무 경력 3년~5년 (또는 그에 준하는 역량) 
•	LLM 기반 서비스 개발 경험 (OpenAI GPT API 활용, 랭체인 등 LLM 애플리케이션 구현 경험 필수) 
•	Python(FastAPI) 또는 Node.js 서버 개발에 능숙한 분 
•	RDBMS(PostgreSQL) 설계 및 쿼리 최적화가 가능한 분 
•	주도적으로 문제를 정의하고 논리적으로 해결해 나가는 분","3. 이런 경험이 있다면 더 좋아요 (우대)
•	음성 기술 연동 경험: Google STT, Naver Clova, Amazon Polly 등 음성 인식/합성 API 활용 경험 
•	실시간 통신 구현: WebSocket 등을 활용해 끊김 없는 대화 처리를 해보신 분 
•	AWS 인프라 운영: 클라우드 환경에서 서비스를 밑바닥부터 구축하고 운영해 본 경험 
•	협업 능력: 프론트엔드 팀 및 외부 협력사와 원활하게 소통하며 API를 연동해 본 경험 
•	스타트업 마인드: 초기 멤버로서 제품 런칭의 기쁨을 함께 느껴보신 분",1차:  Zoom call -＞ 2차:  대면 면접 -＞ 입사
338271,풀스택 개발자,허드슨에이아이,서울특별시 강남구 테헤란로63길 11,"파이썬 개발자, ",regular,https://www.wanted.co.kr/wd/338271?client_id=x7eN3AyKUtFUcR2WIUFbWYfS,"• 더빙 스튜디오 2.0의 프론트엔드·백엔드 전반 기능 개발 및 운영
• Python / Typescript / React / MongoDB 기반 서비스 아키텍처 설계 및 개선
• 신규 기능 기획부터 구현, 테스트, 배포까지의 엔드투엔드 개발 프로세스 참여
• 데이터베이스  및 API 설계·최적화
• Docker 등을 활용한 서비스 배포 및 운영 자동화
• 기획자, 디자이너, 마케터 등 다양한 팀과의 협업을 통한 제품 개선 및 사용자 경험 고도화","• 소프트웨어 개발 경력 5년 이상
• Python 기반 REST API 서버 개발 경험
• Typescript / React 기반 프론트엔드 개발 경험
• MongoDB 또는 No SQL DB 활용 경험
• Docker 등 컨테이너 활용 및 배포 경험","• 웹 영상, 음성 편집기 개발 경험
• PostgreSQL 등 RDBMS 활용 경험
• Websocket, Protobuf, gRPC 등 마이크로서비스 통신 기술 경험
• Java, Spring, Spring boot, JPA 경험
• Tailwind CSS, Radix, Shadcn, Vite 등 최신 UI/UX 라이브러리 활용 경험
• Docker, Kubernetes 기반 서비스 운영/배포 경험
• 스타트업 또는 빠른 프로덕트 개발 환경 경험
• 프론트/백엔드 중 한 영역에 특화되어 있더라도 서비스 전반 문제 해결에 적극적으로 참여할 수 있는 태도","서류전형 ＞ 과제 전형 ＞ 실무 인터뷰 ＞ 컬쳐핏 인터뷰 ＞ 처우협의 ＞ 최종합격 
• 전형절차는 일정 및 상황에 따라 변동될 수 있으며, 전형별 결과에 따라 추가 절차가 진행될 수 있습니다.
• 지원서 내용 중 허위 사실이 있는 경우에는 합격이 취소될 수 있습니다.
• 전형일정 및 결과는 지원서에 등록하신 연락처로 개별 안내드립니다."
